진료년도,상병구분,시도,시군구,성별,환자수,입내원일수,요양급여비용
2024,ADHD,전남,곡성군,남,0 ,0 ,0 
2024,ADHD,전남,곡성군,여,0 ,0 ,0 
2024,ADHD,전남,구례군,남,14 ,97 ,3551460 
2024,ADHD,전남,구례군,여,12 ,70 ,2786890 
2024,ADHD,전남,담양군,남,55 ,353 ,34560180 
2024,ADHD,전남,담양군,여,27 ,166 ,17005810 
2024,ADHD,전남,무안군,남,0 ,0 ,0 
2024,ADHD,전남,무안군,여,0 ,0 ,0 
2024,ADHD,전남,보성군,남,0 ,0 ,0 
2024,ADHD,전남,보성군,여,0 ,0 ,0 
2024,ADHD,전남,신안군,남,0 ,0 ,0 
2024,ADHD,전남,신안군,여,0 ,0 ,0 
2024,ADHD,전남,영광군,남,59 ,363 ,30020040 
2024,ADHD,전남,영광군,여,26 ,157 ,10793990 
2024,ADHD,전남,영암군,남,0 ,0 ,0 
2024,ADHD,전남,영암군,여,0 ,0 ,0 
2024,ADHD,전남,완도군,남,0 ,0 ,0 
2024,ADHD,전남,완도군,여,0 ,0 ,0 
2024,ADHD,전남,장성군,남,0 ,0 ,0 
2024,ADHD,전남,장성군,여,0 ,0 ,0 
2024,ADHD,전남,장흥군,남,0 ,0 ,0 
2024,ADHD,전남,장흥군,여,0 ,0 ,0 
2024,ADHD,전남,진도군,남,0 ,0 ,0 
2024,ADHD,전남,진도군,여,0 ,0 ,0 
2024,ADHD,전남,함평군,남,18 ,98 ,11081580 
2024,ADHD,전남,함평군,여,10 ,36 ,4447000 
2024,ADHD,전남,해남군,남,93 ,454 ,51995730 
2024,ADHD,전남,해남군,여,23 ,97 ,12797210 
2024,ADHD,전남,화순군,남,23 ,213 ,21804780 
2024,ADHD,전남,화순군,여,10 ,57 ,3959870 
2024,ADHD,전남,나주시,남,366 ,2385 ,254334800 
2024,ADHD,전남,나주시,여,149 ,914 ,92828740 
2024,ADHD,전남,목포시,남,541 ,3777 ,220875440 
2024,ADHD,전남,목포시,여,326 ,2155 ,134475030 
2024,ADHD,전남,순천시,남,728 ,5137 ,573829370 
2024,ADHD,전남,순천시,여,376 ,2339 ,241611110 
2024,ADHD,전남,여수시,남,454 ,4016 ,227872740 
2024,ADHD,전남,여수시,여,152 ,1129 ,66029950 
2024,ADHD,전남,광양시,남,256 ,1513 ,113464060 
2024,ADHD,전남,광양시,여,86 ,371 ,35256870 
2024,ADHD,경북,고령군,남,0 ,0 ,0 
2024,ADHD,경북,고령군,여,0 ,0 ,0 
2024,ADHD,경북,군위군,남,0 ,0 ,0 
2024,ADHD,경북,군위군,여,0 ,0 ,0 
2024,ADHD,경북,봉화군,남,0 ,0 ,0 
2024,ADHD,경북,봉화군,여,0 ,0 ,0 
2024,ADHD,경북,성주군,남,0 ,0 ,0 
2024,ADHD,경북,성주군,여,0 ,0 ,0 
2024,ADHD,경북,영덕군,남,0 ,0 ,0 
2024,ADHD,경북,영덕군,여,0 ,0 ,0 
2024,ADHD,경북,영양군,남,0 ,0 ,0 
2024,ADHD,경북,영양군,여,0 ,0 ,0 
2024,ADHD,경북,예천군,남,0 ,0 ,0 
2024,ADHD,경북,예천군,여,0 ,0 ,0 
2024,ADHD,경북,울릉군,남,0 ,0 ,0 
2024,ADHD,경북,울릉군,여,0 ,0 ,0 
2024,ADHD,경북,울진군,남,0 ,0 ,0 
2024,ADHD,경북,울진군,여,0 ,0 ,0 
2024,ADHD,경북,의성군,남,0 ,0 ,0 
2024,ADHD,경북,의성군,여,0 ,0 ,0 
2024,ADHD,경북,청도군,남,0 ,0 ,0 
2024,ADHD,경북,청도군,여,0 ,0 ,0 
2024,ADHD,경북,청송군,남,0 ,0 ,0 
2024,ADHD,경북,청송군,여,0 ,0 ,0 
2024,ADHD,경북,칠곡군,남,75 ,340 ,20091900 
2024,ADHD,경북,칠곡군,여,17 ,100 ,5328480 
2024,ADHD,경북,경주시,남,172 ,1351 ,112736310 
2024,ADHD,경북,경주시,여,95 ,775 ,67132040 
2024,ADHD,경북,구미시,남,1116 ,7889 ,747500090 
2024,ADHD,경북,구미시,여,478 ,2749 ,251344210 
2024,ADHD,경북,김천시,남,112 ,778 ,53239320 
2024,ADHD,경북,김천시,여,50 ,331 ,18811860 
2024,ADHD,경북,안동시,남,136 ,685 ,30157610 
2024,ADHD,경북,안동시,여,59 ,267 ,14797610 
