진료년도,상별구분,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2024,ADHD,서울,중구,여,50~59세,18 ,164 ,17833610 
2024,ADHD,서울,중구,여,60~69세,0 ,0 ,0 
2024,ADHD,서울,중구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,중구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,중구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,중구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,송파구,남,0~9세,1557 ,9672 ,966105300 
2024,ADHD,서울,송파구,남,10~19세,2354 ,18055 ,2005650180 
2024,ADHD,서울,송파구,남,20~29세,812 ,5830 ,701581540 
2024,ADHD,서울,송파구,남,30~39세,648 ,4204 ,548068070 
2024,ADHD,서울,송파구,남,40~49세,195 ,1409 ,191107820 
2024,ADHD,서울,송파구,남,50~59세,56 ,358 ,50762610 
2024,ADHD,서울,송파구,남,60~69세,11 ,47 ,7062790 
2024,ADHD,서울,송파구,남,70~79세,0 ,0 ,0 
2024,ADHD,서울,송파구,남,80~89세,0 ,0 ,0 
2024,ADHD,서울,송파구,남,90~99세,0 ,0 ,0 
2024,ADHD,서울,송파구,남,100세이상,0 ,0 ,0 
2024,ADHD,서울,송파구,여,0~9세,483 ,2796 ,280619580 
2024,ADHD,서울,송파구,여,10~19세,1041 ,7754 ,863419040 
2024,ADHD,서울,송파구,여,20~29세,1034 ,7512 ,976363930 
2024,ADHD,서울,송파구,여,30~39세,681 ,5299 ,719280310 
2024,ADHD,서울,송파구,여,40~49세,228 ,1765 ,225925660 
2024,ADHD,서울,송파구,여,50~59세,57 ,358 ,42338170 
2024,ADHD,서울,송파구,여,60~69세,0 ,0 ,0 
2024,ADHD,서울,송파구,여,70~79세,0 ,0 ,0 
2024,ADHD,서울,송파구,여,80~89세,0 ,0 ,0 
2024,ADHD,서울,송파구,여,90~99세,0 ,0 ,0 
2024,ADHD,서울,송파구,여,100세이상,0 ,0 ,0 
2024,ADHD,서울,중랑구,남,0~9세,332 ,2733 ,336580070 
2024,ADHD,서울,중랑구,남,10~19세,507 ,6602 ,627401620 
